task,dataset,method,seed,n_train,n_test,preprocess_seconds,model_seconds,rmse,r2,accuracy,macro_f1,silhouette,ari,model_warning
regression,california_housing,none,13,16512,4128,0.000000000,0.009988875,1.07424445231,0.143720187062,,,,,
regression,california_housing,standard,13,16512,4128,0.130294166,0.068828375,0.662749988636,0.674081566442,,,,,
regression,california_housing,robust,13,16512,4128,0.228692417,0.071743792,0.651296972086,0.685248662215,,,,,
regression,california_housing,yeo-johnson,13,16512,4128,0.900814417,0.052870959,0.620513870839,0.7142985434,,,,,
regression,california_housing,none,37,16512,4128,0.000000000,0.008597125,1.04038018837,0.163815878948,,,,,
regression,california_housing,standard,37,16512,4128,0.154460542,0.063966208,0.625662027718,0.697589152764,,,,,
regression,california_housing,robust,37,16512,4128,0.193942041,0.037883500,0.62058808883,0.702474193766,,,,,
regression,california_housing,yeo-johnson,37,16512,4128,0.904429167,0.051316375,0.589404071635,0.731623779495,,,,,
regression,california_housing,none,73,16512,4128,0.000000000,0.008541708,1.0595824476,0.171990781995,,,,,
regression,california_housing,standard,73,16512,4128,0.183375875,0.066541375,0.659107059526,0.679611007017,,,,,
regression,california_housing,robust,73,16512,4128,0.219243042,0.039404542,0.646109952563,0.692122095041,,,,,
regression,california_housing,yeo-johnson,73,16512,4128,0.910586333,0.053173125,0.615133601871,0.720935519239,,,,,
regression,california_housing,none,101,16512,4128,0.000000000,0.009297000,1.076537523,0.142721674527,,,,,
regression,california_housing,standard,101,16512,4128,0.124071667,0.067255333,0.657420905854,0.68029419589,,,,,
regression,california_housing,robust,101,16512,4128,0.209064041,0.039017416,0.667688591912,0.670229796841,,,,,
regression,california_housing,yeo-johnson,101,16512,4128,0.901511083,0.053865458,0.62588207472,0.710233265267,,,,,
regression,california_housing,none,149,16512,4128,0.000000000,0.008876833,1.05254949927,0.154766547664,,,,,
regression,california_housing,standard,149,16512,4128,0.122869875,0.067715708,0.638048390329,0.689401857714,,,,,
regression,california_housing,robust,149,16512,4128,0.245236333,0.040728375,0.644199343613,0.683384497809,,,,,
regression,california_housing,yeo-johnson,149,16512,4128,0.856363333,0.057865583,0.605928149407,0.719886605289,,,,,
regression,abalone,none,13,3340,835,0.000000000,0.003591042,2.28369906886,0.470141706481,,,,,
regression,abalone,standard,13,3340,835,0.093178917,0.003633416,2.40589097368,0.411923435834,,,,,
regression,abalone,robust,13,3340,835,0.148006292,0.003240791,2.40262331679,0.413519790355,,,,,
regression,abalone,yeo-johnson,13,3340,835,0.729945666,0.003612917,2.38368707507,0.422728030454,,,,,
regression,abalone,box-cox,13,3340,835,0.367388916,0.003571834,2.38999912309,0.419666728645,,,,,
regression,abalone,none,37,3340,835,0.000000000,0.003617500,2.2245984634,0.499739927972,,,,,
regression,abalone,standard,37,3340,835,0.083744625,0.003609625,2.25972283818,0.483817917684,,,,,
regression,abalone,robust,37,3340,835,0.170360792,0.003901416,2.25668932434,0.485202861401,,,,,
regression,abalone,yeo-johnson,37,3340,835,0.638419500,0.003562583,2.25572325988,0.485643525311,,,,,
regression,abalone,box-cox,37,3340,835,0.321125208,0.003735875,2.26376825373,0.481968097754,,,,,
regression,abalone,none,73,3340,835,0.000000000,0.003357500,2.26501642405,0.460649914973,,,,,
regression,abalone,standard,73,3340,835,0.089870875,0.003644459,2.30360300971,0.442116759243,,,,,
regression,abalone,robust,73,3340,835,0.156030875,0.003335208,2.30994724776,0.43903965105,,,,,
regression,abalone,yeo-johnson,73,3340,835,0.681596959,0.004940042,2.27625072548,0.455286379415,,,,,
regression,abalone,box-cox,73,3340,835,0.373938000,0.003436958,2.28596341671,0.450627909565,,,,,
regression,abalone,none,101,3340,835,0.000000000,0.003544125,2.25786715106,0.474036762682,,,,,
regression,abalone,standard,101,3340,835,0.083851500,0.003636625,2.27688199448,0.465140560585,,,,,
regression,abalone,robust,101,3340,835,0.151837666,0.003639167,2.31011314755,0.449414052211,,,,,
regression,abalone,yeo-johnson,101,3340,835,0.714181375,0.003524959,2.29617750571,0.456036780439,,,,,
regression,abalone,box-cox,101,3340,835,0.374293459,0.003326917,2.29966933317,0.454381098382,,,,,
regression,abalone,none,149,3340,835,0.000000000,0.003647083,2.45199173593,0.496320553445,,,,,
regression,abalone,standard,149,3340,835,0.087292958,0.003620417,2.54145980965,0.45889354184,,,,,
regression,abalone,robust,149,3340,835,0.141803292,0.003204125,2.55690681392,0.452295857186,,,,,
regression,abalone,yeo-johnson,149,3340,835,0.702198416,0.003850500,2.56151152981,0.450321367618,,,,,
regression,abalone,box-cox,149,3340,835,0.342315500,0.003812750,2.55052888727,0.455024826508,,,,,
classification,breast_cancer,none,13,455,114,0.000000000,0.041735333,,,0.938596491228,0.932980599647,,,
classification,breast_cancer,standard,13,455,114,0.091058917,0.000628250,,,0.982456140351,0.981150793651,,,
classification,breast_cancer,robust,13,455,114,0.152355875,0.000648125,,,0.973684210526,0.971582883257,,,
classification,breast_cancer,yeo-johnson,13,455,114,1.539432167,0.000544958,,,0.973684210526,0.971277399849,,,
classification,breast_cancer,none,37,455,114,0.000000000,0.001426375,,,0.964912280702,0.962301587302,,,
classification,breast_cancer,standard,37,455,114,0.095901125,0.000647458,,,0.973684210526,0.971582883257,,,
classification,breast_cancer,robust,37,455,114,0.167027084,0.000549334,,,0.982456140351,0.98095556298,,,
classification,breast_cancer,yeo-johnson,37,455,114,1.299222541,0.000787416,,,0.973684210526,0.971582883257,,,
classification,breast_cancer,none,73,455,114,0.000000000,0.001374417,,,0.947368421053,0.943452380952,,,
classification,breast_cancer,standard,73,455,114,0.087260167,0.001105292,,,0.956140350877,0.95157590689,,,
classification,breast_cancer,robust,73,455,114,0.145805958,0.000739375,,,0.947368421053,0.941538461538,,,
classification,breast_cancer,yeo-johnson,73,455,114,1.357696750,0.000911792,,,0.973684210526,0.971277399849,,,
classification,breast_cancer,none,101,455,114,0.000000000,0.001203041,,,0.929824561404,0.923822251921,,,
classification,breast_cancer,standard,101,455,114,0.079074500,0.000671000,,,0.938596491228,0.932980599647,,,
classification,breast_cancer,robust,101,455,114,0.153031750,0.000620958,,,0.938596491228,0.933693394267,,,
classification,breast_cancer,yeo-johnson,101,455,114,1.334106625,0.000657375,,,0.956140350877,0.952638138762,,,
classification,breast_cancer,none,149,455,114,0.000000000,0.001230542,,,0.90350877193,0.889173663279,,,
classification,breast_cancer,standard,149,455,114,0.080307334,0.000915958,,,0.947368421053,0.94222972973,,,
classification,breast_cancer,robust,149,455,114,0.173434500,0.000599500,,,0.956140350877,0.952128999748,,,
classification,breast_cancer,yeo-johnson,149,455,114,1.303638750,0.000557917,,,0.947368421053,0.94222972973,,,
classification,wine,none,13,142,36,0.000000000,0.001811834,,,0.638888888889,0.610657390603,,,
classification,wine,standard,13,142,36,0.075066167,0.001232667,,,0.972222222222,0.974320987654,,,
classification,wine,robust,13,142,36,0.127525875,0.001354375,,,0.944444444444,0.948717948718,,,
classification,wine,yeo-johnson,13,142,36,0.828938334,0.001095041,,,0.944444444444,0.948717948718,,,
classification,wine,box-cox,13,142,36,0.418013292,0.001252959,,,0.944444444444,0.948717948718,,,
classification,wine,none,37,142,36,0.000000000,0.002236584,,,0.583333333333,0.570061050061,,,
classification,wine,standard,37,142,36,0.073504583,0.001490708,,,0.972222222222,0.974320987654,,,
classification,wine,robust,37,142,36,0.130204833,0.001177375,,,0.972222222222,0.974320987654,,,
classification,wine,yeo-johnson,37,142,36,0.899039042,0.001142333,,,0.972222222222,0.974320987654,,,
classification,wine,box-cox,37,142,36,0.448556416,0.001004583,,,0.972222222222,0.974320987654,,,
classification,wine,none,73,142,36,0.000000000,0.002255500,,,0.75,0.745120772947,,,
