task,dataset,method,n_runs,primary_metric,primary_mean,primary_std,secondary_metric,secondary_mean,secondary_std,preprocess_mean_seconds,preprocess_std_seconds,model_mean_seconds,model_std_seconds
classification,breast_cancer,none,5,macro_f1,0.93034609662,0.0270998085639,accuracy,0.936842105263,0.0227055773782,0,0,0.0093939416,0.0180796324333
classification,breast_cancer,standard,5,macro_f1,0.955903982635,0.020089974558,accuracy,0.959649122807,0.0181898608362,0.0867204086,0.00712367517559,0.0007935916,0.000209673704443
classification,breast_cancer,robust,5,macro_f1,0.955979860358,0.019920528,accuracy,0.959649122807,0.0181898608362,0.1583310334,0.0114498737505,0.0006314584,7.03558507112e-05
classification,breast_cancer,yeo-johnson,5,macro_f1,0.961801110289,0.0136224281448,accuracy,0.964912280702,0.0124053821258,1.3668193666,0.099385166906,0.0006918916,0.000156693306211
classification,htru2,none,5,macro_f1,0.911638960033,0.00869583316387,accuracy,0.97251396648,0.00256466568285,0,0,0.0476768668,0.00065679056795
classification,htru2,standard,5,macro_f1,0.931209101669,0.00705106931443,accuracy,0.978491620112,0.00213646069013,0.1464580418,0.0156035907238,0.0532852416,0.0021608788369
classification,htru2,robust,5,macro_f1,0.933873010708,0.00642721241061,accuracy,0.979162011173,0.00200067090277,0.2324082416,0.0070776932661,0.0553014582,0.00146908132686
classification,htru2,yeo-johnson,5,macro_f1,0.932729445711,0.00419746757759,accuracy,0.978715083799,0.00127087297921,1.0705948836,0.0222953166979,0.0583332584,0.00126145476015
classification,wine,none,5,macro_f1,0.644768193779,0.07546756782,accuracy,0.661111111111,0.0719009950309,0,0,0.002040692,0.000196982179274
classification,wine,standard,5,macro_f1,0.973425586759,0.0332880050413,accuracy,0.972222222222,0.0340206908719,0.0739675418,0.00221209683051,0.0013536002,0.000166466525535
classification,wine,robust,5,macro_f1,0.962914665581,0.0452145953589,accuracy,0.961111111111,0.0464811125852,0.1293797832,0.00277401729866,0.0011371582,0.000134589163125
classification,wine,yeo-johnson,5,macro_f1,0.968304978972,0.0350390055251,accuracy,0.966666666667,0.03621779114,0.865074817,0.0419113252724,0.001109558,6.42491936292e-05
classification,wine,box-cox,5,macro_f1,0.968304978972,0.0350390055251,accuracy,0.966666666667,0.03621779114,0.4845107664,0.0620818728322,0.0011188168,0.000112891828536
clustering,iris,none,5,ari,0.730238272283,0,silhouette,0.552819012356,0,0,0,0.0060516752,0.00106645774865
clustering,iris,standard,5,ari,0.620135180887,0,silhouette,0.459948239205,0,0.0651845834,0.00122941430666,0.0044088086,0.000243458951528
clustering,iris,robust,5,ari,0.580252001964,0,silhouette,0.44364013113,0,0.11907055,0.00437378982935,0.0048339832,0.000345114131989
clustering,iris,yeo-johnson,5,ari,0.641005862178,0,silhouette,0.45719658092,0,0.4111782416,0.0101950707143,0.0046090082,0.000366482421195
clustering,iris,box-cox,5,ari,0.617954035531,0.00440571635171,silhouette,0.460842424753,0.000348972530733,0.2674388668,0.0109005641431,0.0050199168,0.000343716257142
clustering,seeds,none,5,ari,0.716619855736,0,silhouette,0.471933731913,0,0,0,0.005631975,0.00023175495425
clustering,seeds,standard,5,ari,0.773293736081,0,silhouette,0.400727055275,0,0.0696233748,0.00217385938803,0.0056111332,0.000681128257717
clustering,seeds,robust,5,ari,0.772153389075,0,silhouette,0.391330299853,0,0.122404775,0.00286406025082,0.0049102916,0.000262440994863
clustering,seeds,yeo-johnson,5,ari,0.775859886135,0,silhouette,0.402888142425,0,0.6406820918,0.0150158866587,0.00507515,0.000337572319526
clustering,seeds,box-cox,5,ari,0.775859886135,0,silhouette,0.402849450092,0,0.2788344502,0.00557031776152,0.0047401334,0.000245345012783
clustering,wholesale_customers,none,5,ari,-0.0306089124111,0,silhouette,0.511533389878,0,0,0,0.0066044918,0.000424093423927
clustering,wholesale_customers,standard,5,ari,0.187327944991,0.00905157668296,silhouette,0.593148103259,0.00574185299476,0.0732015084,0.00195925100775,0.0050487332,0.000285891518206
clustering,wholesale_customers,robust,5,ari,-0.00237644971801,0,silhouette,0.903127709479,0,0.1312841248,0.00206584612967,0.0056931166,0.000147118131479
clustering,wholesale_customers,yeo-johnson,5,ari,0.526413643994,0,silhouette,0.294989793343,0,0.6393973252,0.00867040845448,0.004743392,0.000231190379356
clustering,wholesale_customers,box-cox,5,ari,0.532993638572,0,silhouette,0.295388881684,0,0.3255450418,0.0081841138193,0.0048408918,0.000454088048243
regression,abalone,none,5,rmse,2.29663456866,0.0894357266061,r2,0.480177773111,0.0170516798708,0,0,0.00355145,0.000114832549586
regression,abalone,standard,5,rmse,2.35751172514,0.117417437975,r2,0.452378443037,0.0270909047693,0.087587775,0.00404010780598,0.0036289084,1.38350905599e-05
regression,abalone,robust,5,rmse,2.36725597007,0.118314059555,r2,0.447894442441,0.0258535482454,0.1536077834,0.0107283585508,0.0034641414,0.000298312247295
regression,abalone,yeo-johnson,5,rmse,2.35467001919,0.12548587668,r2,0.454003216647,0.0223527643951,0.6932683832,0.0353798809939,0.0038982002,0.000596037760512
regression,abalone,box-cox,5,rmse,2.35798580279,0.1178586795,r2,0.452333732171,0.0221340928816,0.3558122166,0.0233958876627,0.0035768668,0.000201865794293
regression,california_housing,none,5,rmse,1.06065882211,0.0151232038211,r2,0.155403014039,0.0126850330033,0,0,0.0090603082,0.000599042424096
regression,california_housing,standard,5,rmse,0.648597674413,0.0160149607429,r2,0.684195555965,0.00928743097792,0.143014425,0.0259157105095,0.0668613998,0.00181924220044
regression,california_housing,robust,5,rmse,0.645976589801,0.0169371623547,r2,0.686691849134,0.0118594951375,0.2192355748,0.0194209571022,0.045755525,0.014563379882
regression,california_housing,yeo-johnson,5,rmse,0.611372353694,0.014322107952,r2,0.719395542538,0.0080942753682,0.8947408666,0.0217973673861,0.0538183,0.00244724631043
regression,parkinsons_telemonitoring,none,5,rmse,12.8275604159,2.30274001058,r2,-1.1756230202,1.16954444083,0,0,0.0170019082,0.00632069008224
regression,parkinsons_telemonitoring,standard,5,rmse,13.0932165215,2.27597482185,r2,-1.29429742758,1.36216228122,0.1306768166,0.0106849540291,0.0141355916,0.000402756389659
regression,parkinsons_telemonitoring,robust,5,rmse,12.671809837,2.12062449083,r2,-1.17364339096,1.35874391715,0.2396268336,0.0132134251298,0.0139238582,0.000553719232198
regression,parkinsons_telemonitoring,yeo-johnson,5,rmse,12.7222256238,2.16354872849,r2,-1.17380937803,1.30645644212,1.354581975,0.0360176844043,0.0138901834,0.000327945546913
